word,occurrence,x,y,width,height,tobii_x,tobii_y,tobii_width,tobii_height
public,0,12,35,69,24,0.0114583333333333,0.125,0.0359375,0.0222222222222222
void,0,86,35,48,20,0.05,0.125,0.025,0.0185185185185185
createServerChooser,0,141,35,230,24,0.0786458333333333,0.125,0.1197916666666666,0.0222222222222222
-----------,0,379,35,15,24,0.2026041666666666,0.125,0.0078125,0.0222222222222222
MainMenuBar,0,54,62,124,20,0.0333333333333333,0.15,0.0645833333333333,0.0185185185185185
mainMenuBar,0,184,62,123,20,0.1010416666666666,0.15,0.0640625,0.0185185185185185
=,0,313,62,16,13,0.1682291666666666,0.15,0.0083333333333333,0.012037037037037
MainMenuBar,1,335,62,283,24,0.1796875,0.15,0.1473958333333333,0.0222222222222222
MainMenuBar.getInstance,0,335,62,283,24,0.1796875,0.15,0.1473958333333333,0.0222222222222222
int,0,54,116,37,20,0.0333333333333333,0.2,0.0192708333333333,0.0185185185185185
nodeId,0,98,116,69,20,0.05625,0.2,0.0359375,0.0185185185185185
=,1,173,116,16,13,0.0953125,0.2,0.0083333333333333,0.012037037037037
-----------,1,195,116,186,24,0.1067708333333333,0.2,0.096875,0.0222222222222222
dbMgr.getNodeId,0,195,116,186,24,0.1067708333333333,0.2,0.096875,0.0222222222222222
String,0,389,116,69,24,0.2078125,0.2,0.0359375,0.0222222222222222
-----------,2,467,116,12,24,0.2484375,0.2,0.00625,0.0222222222222222
-----------,3,486,116,262,24,0.2583333333333333,0.2,0.1364583333333333,0.0222222222222222
cbNE.getSelectedItem,0,486,116,262,24,0.2583333333333333,0.2,0.1364583333333333,0.0222222222222222
DownloadFileChooser,0,55,170,209,20,0.0338541666666666,0.25,0.1088541666666666,0.0185185185185185
downloadFile,0,270,170,135,20,0.1458333333333333,0.25,0.0703125,0.0185185185185185
=,2,411,170,16,13,0.2192708333333333,0.25,0.0083333333333333,0.012037037037037
new,0,433,170,38,17,0.2307291666666666,0.25,0.0197916666666666,0.0157407407407407
DownloadFileChooser,1,476,170,218,24,0.253125,0.25,0.1135416666666666,0.0222222222222222
nodeId,1,703,170,76,23,0.3713541666666666,0.25,0.0395833333333333,0.0212962962962962
-----------,4,789,170,239,22,0.4161458333333333,0.25,0.1244791666666666,0.0203703703703703
-----------,5,789,170,239,22,0.4161458333333333,0.25,0.1244791666666666,0.0203703703703703
-----------,6,789,170,239,22,0.4161458333333333,0.25,0.1244791666666666,0.0203703703703703
tfFileName,0,12,197,119,23,0.0114583333333333,0.275,0.0619791666666666,0.0212962962962962
tfFileNameOnly,0,141,197,156,24,0.0786458333333333,0.275,0.08125,0.0222222222222222
mainMenuBar,1,54,251,262,24,0.0333333333333333,0.325,0.1364583333333333,0.0222222222222222
-----------,7,54,251,262,24,0.0333333333333333,0.325,0.1364583333333333,0.0222222222222222
Object,0,324,251,69,24,0.1739583333333333,0.325,0.0359375,0.0222222222222222
-----------,8,402,251,12,24,0.2145833333333333,0.325,0.00625,0.0222222222222222
downloadFile,1,422,251,134,20,0.225,0.325,0.0697916666666666,0.0185185185185185
downloadFile.setViewId,0,54,278,251,24,0.0333333333333333,0.35,0.1307291666666666,0.0222222222222222
mainMenuBar,2,313,278,252,24,0.1682291666666666,0.35,0.13125,0.0222222222222222
mainMenuBar.getViewId,0,313,278,252,24,0.1682291666666666,0.35,0.13125,0.0222222222222222
downloadFile.setVisible,0,54,305,262,24,0.0333333333333333,0.375,0.1364583333333333,0.0222222222222222
true,0,325,305,48,19,0.1744791666666666,0.375,0.025,0.0175925925925925
-----------,9,11,332,15,24,0.0109375,0.4,0.0078125,0.0222222222222222
